Name,GID,Source,Xa4,xa5,Xa7,xa13,Xa21,Pita,Pi9,Pi54,Pi35(t)
IR 106236-B-B-B-PRN B-PRN B-PRN 210,4789184,IRRI,R,R,S,S,S,S,S,S,
IR 106236-B-B-B-PRN B-PRN B-PRN 190,4789164,IRRI,R,S,S,S,S,S,S,S,
IR 106236-B-B-B-PRN B-PRN B-PRN 156,4789130,IRRI,R,S,S,S,S,S,S,S,
IR 106236-B-B-B-PRN B-PRN B-PRN 117,4789091,IRRI,R,S,S,S,,S,S,S,
IR 106236-B-B-B-PRN B-PRN B-PRN 254,4789228,IRRI,R,S,S,S,S,R,S,S,
IR 107976-B-9-2-1-1,300608057,IRRI,R,S,S,S,S,S,S,S,
IR 106236-B-B-B-PRN B-PRN B-PRN 4,4788978,IRRI,R,,S,S,,,S,S,
IR 106236-B-B-B-PRN B-PRN B-PRN 246,4789220,IRRI,R,S,S,S,S,R,S,S,
IR 107976-B-19-1-1-1,300608065,IRRI,R,S,S,S,S,S,S,S,
IR 106236-B-B-B-PRN B-PRN B-PRN 242,4789216,IRRI,R,S,S,S,S,R,S,S,
IR 106236-B-B-B-PRN B-PRN B-PRN 231,4789205,IRRI,R,S,S,S,S,R,S,S,
IR 108000-B-51-1-2-1,300607981,IRRI,R,R,S,S,S,R,S,S,
IR 106236-B-B-B-PRN B-PRN B-PRN 22,4788996,IRRI,R,R,S,S,S,R,S,S,
IR 106236-B-B-B-PRN B-PRN B-PRN 106,4789080,IRRI,R,S,S,S,S,R,S,S,
IR 106236-B-B-B-PRN B-PRN B-PRN 134,4789108,IRRI,R,S,S,S,R,R,S,S,
IR 106236-B-B-B-PRN B-PRN B-PRN 35,4789009,IRRI,R,S,S,S,S,S,S,S,
IR 106236-B-B-B-PRN B-PRN B-PRN 214,4789188,IRRI,R,S,S,S,S,R,S,S,
IR 106236-B-B-B-PRN B-PRN B-PRN 175,4789149,IRRI,R,S,S,S,S,R,S,S,
IR 108000-B-49-3-3-1,300607980,IRRI,R,R,S,S,S,R,S,S,
IR 106236-B-B-B-PRN B-PRN B-PRN 162,4789136,IRRI,R,S,S,S,S,R,S,S,
IR 106236-B-B-B-PRN B-PRN B-PRN 50,4789024,IRRI,R,S,S,S,S,R,S,S,
IR 106236-B-B-B-PRN B-PRN B-PRN 218,4789192,IRRI,R,R,S,S,S,R,S,S,
IR 106236-B-B-B-PRN B-PRN B-PRN 221,4789195,IRRI,R,S,S,S,S,R,S,S,
IR 106236-B-B-B-PRN B-PRN B-PRN 249,4789223,IRRI,R,S,S,S,S,R,S,S,
IR 106236-B-B-B-PRN B-PRN B-PRN 87,4789061,IRRI,R,S,S,S,S,R,S,S,
IR 107976-B-19-2-3-1,300608070,IRRI,R,S,S,S,S,S,S,S,
IR 107976-B-19-2-2-1,300608069,IRRI,R,S,S,S,S,R,S,S,
IR 106236-B-B-B-PRN B-PRN B-PRN 65,4789039,IRRI,R,R,S,S,S,R,S,S,
IR 100097-B-B RGA-B RGA-20-1,300431140,IRRI,R,R,S,S,S,R,S,S,
IR 107976-B-19-3-2-1,300608072,IRRI,R,S,S,S,S,R,S,S,
IR 106236-B-B-B-PRN B-PRN B-PRN 31,4789005,IRRI,R,,S,S,R,S,S,S,
IR 108000-B-54-1-3-1,300607985,IRRI,R,S,S,S,S,R,S,S,
IR 106236-B-B-B-PRN B-PRN B-PRN 168,4789142,IRRI,R,S,S,S,S,R,S,S,
IR 106236-B-B-B-PRN B-PRN B-PRN 75,4789049,IRRI,R,S,S,S,S,R,S,S,
IR 107976-B-21-3-3-1,300608078,IRRI,R,S,S,S,S,R,S,S,
